text,maj_label,doccano_art_id,sentence_id,label_anno1,comments_anno1,label_anno2,comments_anno2,label_anno3,comments_anno3,label_anno4,comments_anno4,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence
c. vP undergoes 'VP ellipsis' in a resemblance relation.,NC,4,117,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"b. Nominative and Accusative Case are checked outside VP, whereas inherent case is checked inside VP.",No asymmetry in voice match between VP ellipsis and Pseudogapping,The key ingredient we rely on in this analysis is Case/case (mis)match in ellipsis.
The key ingredient we rely on in this analysis is Case/case (mis)match in ellipsis.,NC,4,118,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,c. vP undergoes 'VP ellipsis' in a resemblance relation.,No asymmetry in voice match between VP ellipsis and Pseudogapping,"Simply stated, Case/case mismatch is not allowed between a survivor/remnant and its antecedent constituent (or correlate)."
"In other words, voice mismatch for vP ellipsis in a resemblance relation is not permissible, because it always invites Case mismatch between an object element and its corresponding subject or vice versus, ultimately infringing on the syntactic isomorphism on ellipsis.",NC,4,135,NC,,POS,,,,,,(30) ..[ antecedent constituent A' ] ...[ ellipsis constituent,"Therefore, there is bound to arise a Case mismatch in both Pseudogapping and VP ellipsis in a resemblance relation that holds for (33) and (34).",(30) ..[ antecedent constituent A' ] ...[ ellipsis constituent,We now turn to the examples where a VPinternal element is assigned not structural Case but inherent case.
"We saw that passive-active alternation (i.e., voice mismatch) in the antecedent and ellipsis pair is permissible in a cause/effect relation.",POS,4,158,POS,,NC,,,,,,Consequences,"Chomsky (1995) Why is there a contrast between passives, on the one hand, and unaccusatives and middles, on the other hand?",Consequences,"However, neither causative-unaccusative nor transitive-middle alternation in the antecedent and ellipsis pair is allowed."
"However, neither causative-unaccusative nor transitive-middle alternation in the antecedent and ellipsis pair is allowed.",POS,4,159,POS,,NC,,,,,,Consequences,"We saw that passive-active alternation (i.e., voice mismatch) in the antecedent and ellipsis pair is permissible in a cause/effect relation.",Consequences,"We suggest on the basis of the following do so replacement that in English, passives involve syntactic movement, but neither unaccusatives nor middles do so."
"This account implies that passive verbs are potentially transitive verbs, thus being able to meet the identity condition on ellipsis with transitive verbs.",POS,4,166,POS,,NC,,,,,,Consequences,"Stroik (2001), among others) cannot replace a VP that contains a gap left behind by A or A'-movement.",Consequences,"However, unaccusative and middle verbs are in fact intransitive verbs, thus not being able to meet the identity condition on ellipsis with causative or transitive verbs."
"However, unaccusative and middle verbs are in fact intransitive verbs, thus not being able to meet the identity condition on ellipsis with causative or transitive verbs.",POS,4,167,POS,,NC,,,,,,Consequences,"This account implies that passive verbs are potentially transitive verbs, thus being able to meet the identity condition on ellipsis with transitive verbs.",Consequences,"This is how we account for the unacceptability of ( 38), (42), and (43)."
We took Tanaka's rebuttal of Merchant's dichotomy in voice mismatch between VP and Pseudogapping to be valid.,NC,4,177,NC,,POS,,,,,,Conclusion,"In this paper, we first started with reviewing Merchant's (2008) analysis of voice mismatch in ellipsis constructions and Tanaka's (2011) reply to this analysis.",Conclusion,"Departing from Kehler's (2000) insight that the distinction between resemblance vs. cause/effect discourse coherence relations rather than between VP and Pseudogapping come into place in apparent voice mismatch, we argued that VP undergoes ellipsis in a resemblance relation, whereas vP does so in a cause/effect relation."
"On the basis, we employ a recurrent network to eliminate the fakes.",NC,5,3,NC,,FACT,,,,,,abstract,"In this paper, we propose a self-regulated learning approach by utilizing a generative adversarial network to generate spurious features.",abstract,Detailed experiments on the ACE 2005 and TAC-KBP 2015 corpora show that our proposed method is highly effective and adaptable.
"To address the challenge, we suggest to regulate the learning process with a two-channel selfregulated learning strategy.",POS,5,18,POS,,FACT,,,,,,Introduction,"However, it is difficult to determine which words are pseudo-related in a specific case, and when they will ""jump out"" to mislead the generation of latent features during testing.",Introduction,"In the self-regulation process, on one hand, a generative adversarial network is trained to produce the most spurious features, while on the other hand, a neural network Figure 1: Self-regulated learning scheme is equipped with a memory suppressor to eliminate the fakes."
"In the self-regulation process, on one hand, a generative adversarial network is trained to produce the most spurious features, while on the other hand, a neural network Figure 1: Self-regulated learning scheme is equipped with a memory suppressor to eliminate the fakes.",NC,5,19,NC,,FACT,,,,,,Introduction,"To address the challenge, we suggest to regulate the learning process with a two-channel selfregulated learning strategy.",Introduction,"Detailed experiments on event detection show that our proposed method achieves a substantial performance gain, and is capable of robust domain adaptation."
"To be honest, the models use two different kinds of recurrent units.",NC,5,126,NC,,NEG,,,,,,Trigger identification,This is proven by the fact that SELF (Bi-LSTM+GAN) outperforms Nguyen et al (2016)'s Bi-RNN.,Trigger identification,"Bi-RNN uses GRUs, but SELF uses the units that possess LSTM."
"Bi-RNN uses GRUs, but SELF uses the units that possess LSTM.",NC,5,127,NC,,NEG,,,,,,Trigger identification,"To be honest, the models use two different kinds of recurrent units.",Trigger identification,"Nevertheless, GRU has been experimentally proven to be comparable in performance to LSTM (Chung et al., 2014;Jozefowicz et al., 2015)."
"Nevertheless, GRU has been experimentally proven to be comparable in performance to LSTM (Chung et al., 2014;Jozefowicz et al., 2015).",POS,5,128,POS,,NC,,,,,,Trigger identification,"Bi-RNN uses GRUs, but SELF uses the units that possess LSTM.",Trigger identification,This allows a fair comparison between Bi-RNN and SELF.
This allows a fair comparison between Bi-RNN and SELF.,NC,5,129,NC,,POS,,,,,,Trigger identification,"Nevertheless, GRU has been experimentally proven to be comparable in performance to LSTM (Chung et al., 2014;Jozefowicz et al., 2015).",Event classification,Table 2 shows the performance of multi-class classification.
"SELF inherits the merits of the RNN models, classifying the events with higher recall.",NC,5,139,NC,,POS,,,,,,Event classification,"Let us turn to the structurally more complicated models, SELF and Hybrid.",Event classification,"Besides, by the utilization of GAN, SELF has evolved from the traditional learning strategies, being capable of learning from GAN and getting rid of the mistakenly generated spurious features."
"Besides, by the utilization of GAN, SELF has evolved from the traditional learning strategies, being capable of learning from GAN and getting rid of the mistakenly generated spurious features.",NC,5,140,NC,,POS,,,,,,Event classification,"SELF inherits the merits of the RNN models, classifying the events with higher recall.",Event classification,"So that it outperforms other RNNs, with improvements of no less than 4.5% precision and 1.7% recall."
"However it is built using a single-channel architecture, concatenating the RNN and the CNN.",NC,5,146,NC,,NEG,,,,,,Event classification,Multi-angled cognition enables Hybrid to be more precise.,Event classification,"This results in twofold accumulation of feature information, causing a serious overfitting problem."
"This results in twofold accumulation of feature information, causing a serious overfitting problem.",POS,5,147,POS,,NEG,,,,,,Event classification,"However it is built using a single-channel architecture, concatenating the RNN and the CNN.",Event classification,"Therefore, Hybrid is localized to much higher precision but substantially lower recall."
"For Hybrid, as illustrated in  Figure 2, the gap becomes much wider (from 9% to 19.7%) when the binary classification task (trigger identification) is shifted to multi-class classification (event detection).",POS,5,150,POS,,NEG,,,,,,Event classification,Overfitting results in enlargement of the gap between precision and recall when the task changes to be more difficult.,Event classification,"By contrast, other work shows a nearly constant gap."
"By contrast, other work shows a nearly constant gap.",NC,5,151,NC,,NEG,,,,,,Event classification,"For Hybrid, as illustrated in  Figure 2, the gap becomes much wider (from 9% to 19.7%) when the binary classification task (trigger identification) is shifted to multi-class classification (event detection).",Event classification,"In particular, SELF yields a minimum gap in each task, which changes negligibly from 3.5% to 3.4%."
"However, SELF fails to recall the pronouns that act as a trigger.",POS,5,202,POS,,NEG,,,,,,Recall and Missing,We observe that Bi-RNN and Hybrid seldom pick them up.,Recall and Missing,This is because they occur in spoken language much more frequently than they occur in written language.
This is because they occur in spoken language much more frequently than they occur in written language.,NC,5,203,NC,,POS,,,,,,Recall and Missing,"However, SELF fails to recall the pronouns that act as a trigger.",Recall and Missing,The lack of narrative content makes it difficult to learn the relationship between the pronouns and the events.
The lack of narrative content makes it difficult to learn the relationship between the pronouns and the events.,NC,5,204,NC,,NEG,,,,,,Recall and Missing,This is because they occur in spoken language much more frequently than they occur in written language.,Recall and Missing,Some real examples collected from ACE are shown in Table 7.
We use a self-regulated learning approach to improve event detection.,NC,5,220,NC,,FACT,,,,,,Related Work,"We follow the work to create spurious features, but use them to regulate the self-learning process in a single-task situation.",Conclusion,"In the learning process, the adversarial and cooperative models are utilized in decontaminating the latent feature space."
"In the learning process, the adversarial and cooperative models are utilized in decontaminating the latent feature space.",NC,5,221,NC,,FACT,,,,,,Conclusion,We use a self-regulated learning approach to improve event detection.,Conclusion,"In this study, the performance of the discriminator in the adversarial network is left to be evaluated."
"In this study, the performance of the discriminator in the adversarial network is left to be evaluated.",PROSP,5,222,PROSP,,NEG,,,,,,Conclusion,"In the learning process, the adversarial and cooperative models are utilized in decontaminating the latent feature space.",Conclusion,"Most probably, the discriminator also performs well because it is gradually enhanced by fierce competition."
"Most probably, the discriminator also performs well because it is gradually enhanced by fierce competition.",PROSP,5,223,PROSP,,POS,,,,,,Conclusion,"In this study, the performance of the discriminator in the adversarial network is left to be evaluated.",Conclusion,"Considering this possibility, we suggest to drive the two discriminators in our self-regulation framework to cooperate with each other."
"Considering this possibility, we suggest to drive the two discriminators in our self-regulation framework to cooperate with each other.",PROSP,5,224,PROSP,,POS,,,,,,Conclusion,"Most probably, the discriminator also performs well because it is gradually enhanced by fierce competition.",Conclusion,"Besides, the global features extracted in Li et al (2013)'s work are potentially useful for detecting the event instances referred by pronouns, although involve noises."
"Besides, the global features extracted in Li et al (2013)'s work are potentially useful for detecting the event instances referred by pronouns, although involve noises.",PROSP,5,225,PROSP,,NC,,,,,,Conclusion,"Considering this possibility, we suggest to drive the two discriminators in our self-regulation framework to cooperate with each other.",Conclusion,"Therefore, in the future, we will encode the global information by neural networks and use the self-regulation strategy to reduce the negative influence of noises."
"We revisit traditional regularization techniques, specifically L2 regularization on RNN activations and slowness regularization over successive hidden states, to improve the performance of RNNs on the task of language modeling.",FACT,6,3,FACT#POS,,FACT,,,,,,abstract,Both of these can require substantial modifications to the machine learning model or to the underlying RNN configurations.,abstract,Both of these techniques require minimal modification to existing RNN architectures and result in performance improvements comparable or superior to more complicated regularization techniques or custom cell architectures.
These regularization techniques can be used without any modification on optimized LSTM implementations such as the NVIDIA cuDNN LSTM.,NC,6,5,NC,,POS,,,,,,abstract,Both of these techniques require minimal modification to existing RNN architectures and result in performance improvements comparable or superior to more complicated regularization techniques or custom cell architectures.,Introduction,The need for effective regularization methods for RNNs has seen extensive focus in recent years.
"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",NC,6,25,NC,,FACT,,,,,,Introduction,"Norm stabilization (Krueger & Memisevic, 2015) penalizes the model when the norm of an RNN's hidden state changes substantially between timesteps, achieving strong results in character language modeling on and phoneme recognition.",Introduction,"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results."
"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results.",NC,6,26,NC,,POS,,,,,,Introduction,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",Compared to other invasive regularization techniques,"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model."
"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model.",NC,6,27,NC,,POS,,,,,,Introduction,"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results.",Compared to other invasive regularization techniques,This enables AR and TAR to be applied to optimized RNN implementations such as the cuDNN LSTM which can be many times faster than naïve but flexible LSTM implementations.
This enables AR and TAR to be applied to optimized RNN implementations such as the cuDNN LSTM which can be many times faster than naïve but flexible LSTM implementations.,NC,6,28,NC,,POS,,,,,,Compared to other invasive regularization techniques,"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model.",Activation Regularization,"L 2 activation regularization (AR) While L 2 regularization is traditionally used on the weights of machine learning models (L 2 weight decay), it could also be used on the activations."
"To understand the potential of AR and TAR, we investigate their impact on language model perplexity when used independently in Table 1 (AR) and Table 2 (TAR).",NC,6,56,NC,,FACT,,,,,,Model,"All models use weight tying between the embedding and softmax layer (Inan et al., 2016;Press & Wolf, 2016).",Evaluating AR and TAR independently on PTB:,"While both result in a substantial reduction in perplexity, AR results in the strongest improvement of 5.3, while TAR only achieves 4.3."
"The largest LSTM we train (h = 1500) achieves comparable results to the Recurrent Highway Network (RHN) (Zilly et al., 2016), a human developed custom RNN architecture, but with approximately double the number of parameters.",POS,6,65,NC#POS,,POS,,,,,,Evaluating AR and TAR independently on PTB:,Comparing to state-of-the-art PTB: In Table 5 we summarize the current state of the art models in language modeling over the Penn Treebank.,Evaluating AR and TAR independently on PTB:,"Although the LSTM uses twice as many parameters, the RHN runs a cell 10 times per timestep (referred to as recurrence depth), resulting in far more computation."
"Although the LSTM uses twice as many parameters, the RHN runs a cell 10 times per timestep (referred to as recurrence depth), resulting in far more computation.",POS,6,66,POS,,NC,,,,,,Evaluating AR and TAR independently on PTB:,"The largest LSTM we train (h = 1500) achieves comparable results to the Recurrent Highway Network (RHN) (Zilly et al., 2016), a human developed custom RNN architecture, but with approximately double the number of parameters.",Evaluating AR and TAR independently on PTB:,"This would likely result in the RHN being slower than the larger LSTM model during both training and prediction, especially when factoring in optimized LSTM implementations such as NVIDIA's cuDNN LSTM."
It is possible that a large contributor to their improved result was in these tuned hyperparameters as they did not compare their NAS cell results to a standard or variational LSTM cell that was subjected to the same extensive hyperparameter search.,POS,6,70,POS,,NC,,,,,,Evaluating AR and TAR independently on PTB:,"While Zoph & Le (2016) do not report any of the hyperparameters or what type of dropout they used for their Penn Treebank result, they do note that they performed an extensive hyperparameter search over learning rate, weight initialization, dropout rates, and decay epoch in order to produce their best performing model.",Evaluating AR and TAR independently on PTB:,"Our largest LSTM results are 3 perplexity higher in comparison but have not undergone extensive hyperparameter search, do not use additional regularization techniques such as recurrent or embedding dropout, and do not use a custom RNN cell."
"While simple to implement, activity regularization and temporal activity regularization are com-",NC,6,89,NC,phrase incomplète,NC,,,,,,Conclusion,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",Sample generated text,"For generating text samples, words were sampled using the standard generation script contained in the PyTorch word level language modeling example."
Unsupervised parsing solutions are simultaneously an attractive yet troublesome method for handling low-data scenarios.,POS,7,5,POS,,NC,,,,,,abstract,"With less than 24 hours of total annotation, we obtain 7% and 17% absolute improvement in unlabeled dependency scores for English and Spanish, respectively, compared to the same parser using only universal grammar constraints.",Introduction,"The performance of unsupervised parsers has increased dramatically in recent years (Klein and Manning, 2004;Naseem et al., 2010), making them a potentially viable option for constructing labeled corpora on limited budgets."
"Allowing partial annotations dramatically increases the speed at which annotators can work, while simultaneously reducing error rates.",POS,7,31,POS,,NC,,,,,,Graph Fragment Language,Many words and phrases are underspecified.,Graph Fragment Language,These two effects both arise from being able to leave difficult or tedious portions of a sentence unspecified.
These two effects both arise from being able to leave difficult or tedious portions of a sentence unspecified.,POS,7,32,POS,,NC,,,,,,Graph Fragment Language,"Allowing partial annotations dramatically increases the speed at which annotators can work, while simultaneously reducing error rates.",Filling in Partial Dependencies,A partial annotation produces a set of dependency tree fragments.
"Indeed, Fill+Parse method produces better results for our datasets than Fill-then-Parse (see Section 4.2).",NC,7,41,NC,,POS,,,,,,Filling in Partial Dependencies,Fill-then-Parse obscures this distinction and not knowing how trustworthy an arc is can lead to additional errors.,Simulated Cost Comparison,Many factors influence the cost of creating a corpus.
"The actual cost of finding and paying annotators is the most obvious factor, and it will typically be higher for a lowresource language or highly specialized domain.",POS,7,44,POS,,NC,,,,,,Simulated Cost Comparison,Our goal is to minimize cost relative to the performance of a parser trained with the corpus.,Simulated Cost Comparison,Using a light-weight partial annotation scheme like GFL has the potential to increase the pool of qualified annotators and alleviate this challenge.
Using a light-weight partial annotation scheme like GFL has the potential to increase the pool of qualified annotators and alleviate this challenge.,PROSP,7,45,PROSP,,NC,,,,,,Simulated Cost Comparison,"The actual cost of finding and paying annotators is the most obvious factor, and it will typically be higher for a lowresource language or highly specialized domain.",Simulated Cost Comparison,"Given a partial annotation scheme like GFL, an additional cost factor is that of obtaining a particular level of completion for each sentence."
"Given a partial annotation scheme like GFL, an additional cost factor is that of obtaining a particular level of completion for each sentence.",POS,7,46,POS,,NC,,,,,,Simulated Cost Comparison,Using a light-weight partial annotation scheme like GFL has the potential to increase the pool of qualified annotators and alleviate this challenge.,Simulated Cost Comparison,"Consider that for any sentence there are both 'low-hanging fruit' dependencies such as determiner attachment, and more difficult dependencies such as preposition attachment and long-distance relations."
"To this end, we trained our own POS taggers using type label annotations (Garrette and Baldridge, 2013)  We trained taggers for all languages using a limited amount of the available gold data-ensuring that the accuracy is comparable with low-resource human-sourced taggers.",FACT,7,84,FACT,,NC,,,,,,POS-Tagging,Our goal is to minimize real-world costs associated with producing a finished parsing model.,POS-Tagging,"We extract types from the corpus, rank them by frequency, and take the most frequent types to train the tagger."
Results based on actual annotation are the most important as they provide our best measure of performance under a realistic annotation setting.,POS,7,115,POS,,NC,,,,,,Experiments and Discussion,We consider both simulated and actual partial annotations.,Experiments and Discussion,"However, our Spanish annotators had only six hours each, and there was no inter-annotator communication or creation of annotation conventions, and no attempt to have them adopt the conventions in the gold-standard AnCora dependencies we evaluate against."
"To investigate the impact of POS taggers on parsing results, we conducted two series of experiments using POS tags trained by our own tagger as discussed in Section 2.6 (Predicted Tag) and gold POS tags extracted from treebank (Gold Tag).",FACT,7,134,FACT,,NC,,,,,,Annotator-sourced partial dependencies,Table 5 gives semi-supervised parsing results on the English and Spanish treebanks for sentences with 10 or fewer words.,Annotator-sourced partial dependencies,We compare against a right-branching baseline and the Gibbs parser of Mielens et al.
All the parsing methods handily beat the rightbranching baseline.,NC,7,136,NC,,POS,,,,,,Annotator-sourced partial dependencies,We compare against a right-branching baseline and the Gibbs parser of Mielens et al.,Annotator-sourced partial dependencies,"ConvexMST-UG (the model of Grave and Elhadad ( 2015)) beats the Gibbs parser with gold POS tags, but the ranking switches with predicted POS tags."
"ConvexMST-UG (the model of Grave and Elhadad ( 2015)) beats the Gibbs parser with gold POS tags, but the ranking switches with predicted POS tags.",NC,7,137,NC,,POS,,,,,,Annotator-sourced partial dependencies,All the parsing methods handily beat the rightbranching baseline.,Annotator-sourced partial dependencies,"This shows the effectiveness of ConvexMST, but highlights its brittleness with respect to tagging errors: bad tags lead to poor guidance from language universals."
"This shows the effectiveness of ConvexMST, but highlights its brittleness with respect to tagging errors: bad tags lead to poor guidance from language universals.",POS,7,138,POS,,NEG#POS,,,,,,Annotator-sourced partial dependencies,"ConvexMST-UG (the model of Grave and Elhadad ( 2015)) beats the Gibbs parser with gold POS tags, but the ranking switches with predicted POS tags.",Annotator-sourced partial dependencies,ConvexMST-GFL easily beats both these approaches: it exploits partial annotations much more effectively than the Gibbs parser and learns effectively without language universals.
"Our goal was to understand the overall behavior of different methods given the same free-wheeling, diverse annotations; it is likely that higher numbers would have been achieved had we guided annotators to use corpus conventions, or used full annotations provided by our annotators as the evaluation set.",PROSP,7,146,PROSP,,POS,,,,,,Annotator-sourced partial dependencies,It is important to recall that the GFL annotations have no specific conformity to the gold standards of either original corpus.,Annotator-sourced partial dependencies,"The former defeats the spirit of our exercise, and we did not have sufficient budget for the latter."
"(Again, keep in mind that we are considering a ""cold start"" to this process, so there can be no gold standard for checking annotator quality.)",NC,7,154,NC,,NEG,,,,,,Annotator-sourced partial dependencies,The next obvious steps would be to use active learning and to detect disagreement in annotators to either drop some or intervene improve their quality.,Annotator-sourced partial dependencies,"Comparison to Full Annotation To this point, all performance comparisons have been between different parse feature sets; we have demonstrated that the GFL features are complimentary to the UG features, and that when standing alone the GFL features are stronger than the UG features."
"However, the theoretical wall clock time of the group of annotators could be as low as two hours if the sessions were run in parallel.",NEG,7,160,NEG,,POS,,,,,,Annotator-sourced partial dependencies,"In comparison, the other annotators were able to partially annotate the same section in roughly two hours each -a total of 24 hours.",Annotator-sourced partial dependencies,These different training sets were once again used to train ConvexMST models that were evaluated on a held out test set.
"In a real-world environment, the expert annotator would likely be more expensive than the inexperienced annotators, and possibly all of them combined (especially in a crowd-sourcing scenario).",PROSP,7,164,PROSP,,NEG,,,,,,Annotator-sourced partial dependencies,It should be noted that this comparison does not weight the results using the extrinsic costs associated with the production of the training data.,Annotator-sourced partial dependencies,This makes the performance per unit cost for partial annotators even higher than of these extrinsic cost effects.
This makes the performance per unit cost for partial annotators even higher than of these extrinsic cost effects.,POS,7,165,POS,,NEG,,,,,,Annotator-sourced partial dependencies,"In a real-world environment, the expert annotator would likely be more expensive than the inexperienced annotators, and possibly all of them combined (especially in a crowd-sourcing scenario).",Longer Sentences,We also evaluated ConvexMST with longer sentences: those with 20 words or less.
"For this, the right-branching baseline is 25.8%.",POS,7,167,POS,,NC,,,,,,Longer Sentences,We also evaluated ConvexMST with longer sentences: those with 20 words or less.,Longer Sentences,"When using all the annotations on the common set for all annotators, the scores for ConvexMST with UG, GFL, and GFL+UG are 47.6%, 54.4%, and 55.3%, respectively."
POS-Tagging Impact We thought it important to consider imperfect POS-taggings because this entire framework is based off of the assumption that the user is working from essentially no pre-existing resources.,POS,7,170,POS,,NC,,,,,,Longer Sentences,"The values are worse than for shorter sentences, as expected, but the pattern observed in Table 5 still holds: GFL annotations best UG alone, and their combination is the best of all.",Discussion & Error Analysis,"Assuming the availability of gold-standard POS tags is antithetical to this idea, and is one way in which direct supervision can show up in otherwise unsupervised (or indirectly supervised) systems."
"However, more unlikely errors can cause more dramatic effects, as shown in Figure 6.",POS,7,173,POS,,NEG,,,,,,Discussion & Error Analysis,"Many tagger errors are not likely to cause major problems during parsing; for instance mislabeling pronouns as nouns, or adverbs as adjectives, is unlikely to lead to major structural issues.",Discussion & Error Analysis,"Here, the phrase 'beating politically' (gold tags 'NOUN ADV') is mistagged as 'ADJ VERB', leading to the attachment of 'politically' to the root word and the reorganization of a substantial chunk of the sentence."
"Weighting Constraint Violations For feature sets with both GFL and UG-based constraints, a weighting factor can bias the parser towards being more likely to respect either GFL or UG constraints.",POS,7,175,POS,,NEG,,,,,,Discussion & Error Analysis,"Here, the phrase 'beating politically' (gold tags 'NOUN ADV') is mistagged as 'ADJ VERB', leading to the attachment of 'politically' to the root word and the reorganization of a substantial chunk of the sentence.",Discussion & Error Analysis,"We experimented with this, and found that for the  datasets we considered, the best results were obtained when we weighted violations of GFL constraints as worse than violations of UG constraints."
"We experimented with this, and found that for the  datasets we considered, the best results were obtained when we weighted violations of GFL constraints as worse than violations of UG constraints.",POS,7,176,FACT#POS,,POS,,,,,,Discussion & Error Analysis,"Weighting Constraint Violations For feature sets with both GFL and UG-based constraints, a weighting factor can bias the parser towards being more likely to respect either GFL or UG constraints.",Discussion & Error Analysis,"This result is not entirely unexpected given the relative performances of the constraints on their own, but it provides more evidence that direct supervision even in small amounts can beat indirect supervision."
"We demonstrate this with actual annotations produced for English and Spanish, using annotators with a range of experience.",POS,7,180,POS,,FACT,,,,,,5,"The ConvexMST method we adapt from Grave and Elhadad easily combines constraints from both language universals and partial annotations, providing greater robustness from starting annotation until one runs out of budget or time.",5,"Overall, we present a case for working in realistic settings by paying close attention the various sources of annotation and tracking the real costs associated with that supervision."
"Overall, we present a case for working in realistic settings by paying close attention the various sources of annotation and tracking the real costs associated with that supervision.",POS,7,181,POS,,FACT,,,,,,5,"We demonstrate this with actual annotations produced for English and Spanish, using annotators with a range of experience.",5,"We believe that overreliance on creeping supervision of this type may lead to an inaccurate picture of the cross-lingual and low-resource applicability of various models, and are encouraged by recent work on character-based models by Gillick et al."
"This approach has the advantage that it does not require explicit feature engineering, alignments, and a sound transition matrix.",FACT,8,40,FACT,,NC,should we consider it a fact ?,,,,,Convolutional networks,This article is the first to apply convolutional networks (ConvNets) to phonemes by treating each phoneme as a vector of binary valued phonetic features.,Convolutional networks,The approach requires cognacy statements and phonetic descriptions of sounds used to transcribe the words.
The approach requires cognacy statements and phonetic descriptions of sounds used to transcribe the words.,FACT,8,41,FACT,,NC,,,,,,Convolutional networks,"This approach has the advantage that it does not require explicit feature engineering, alignments, and a sound transition matrix.",Convolutional networks,The cognacy statements can be obtained from etymological dictionaries and the quality of the phonemes can be obtained from Ladefoged and Maddieson (1998).
The Manhattan ConvNet competes with PMI and orthographic models at cross-concept cognate identification task.,NC,8,141,NC,,POS,,,,,,Cross-Family experiments,The results of our experiments are given in table 5,Discussion,The Manhattan ConvNet performs better than PMI and orthographic models in terms of overall accuracy in all the three language families.
The Manhattan ConvNet performs better than PMI and orthographic models in terms of overall accuracy in all the three language families.,NC,8,142,NC,,POS,,,,,,Discussion,The Manhattan ConvNet competes with PMI and orthographic models at cross-concept cognate identification task.,Discussion,"In terms of averaged F-scores, Manhattan ConvNet performs slightly better than orthographic model and only performs worse than the other models at Austronesian language family."
The Manhattan ConvNet does not turn up as the best system across all the evaluation metrics in a single language family.,POS,8,145,POS,,POS,exemple de résultat négatif (ici catégorisé en POS),,,,,Discussion,The Manhattan ConvNet shows mixed performance at the task of cross-family cognate identification.,Discussion,The ConvNet performs better than PMI but is not as good as Orthographic measures at Indo-European language family.
"However, ConvNets do not perform as well as orthographic and PMI systems.",POS,8,152,POS,,POS,exemple de résultat négatif (ici catégorisé comme POS),,,,,Discussion,The Orthographic system and PMI system show similar performance at the Austronesian crossconcept task.,Discussion,The reason for this could be due to the differential transcriptions in the database.
The reason for this could be due to the differential transcriptions in the database.,POS,8,153,POS,,POS,explication de résultat,,,,,Discussion,"However, ConvNets do not perform as well as orthographic and PMI systems.",Conclusion,"In this article, we explored the use of phonetic feature convolutional networks for the task of pairwise cognate identification."
We are currently working towards building a larger database of word lists in IPA transcription.,PROSP,8,157,PROSP,,PROSP,PROSP mais déjà commencé dans le présent,,,,,Conclusion,"In the future, we intend to work directly with speech recordings and include language relatedness information into ConvNets to improve the performance.",,
"Our approach leverages attention scores of a reader model, used to solve the task based on retrieved documents, to obtain synthetic labels for the retriever.",NC,9,4,NC,,FACT,,,,,,abstract,"In this paper, we propose a technique to learn retriever models for downstream tasks, inspired by knowledge distillation, and which does not require annotated pairs of query and documents.",abstract,"We evaluate our method on question answering, obtaining state-of-the-art results."
"We evaluate our method on question answering, obtaining state-of-the-art results.",POS,9,5,FACT#POS,,POS,,,,,,abstract,"Our approach leverages attention scores of a reader model, used to solve the task based on retrieved documents, to obtain synthetic labels for the retriever.",INTRODUCTION,"Information retrieval is an important component for many natural language processing tasks, such as question answering (Voorhees et al., 1999) or fact checking (Thorne et al., 2018)."
"Said otherwise, we assume that attention activations are a good proxy for the relevance of documents.",NC,9,27,NC,,POS,,,,,,INTRODUCTION,"More precisely, we use a sequence-to-sequence model as the reader, and use the attention activations over the input documents as synthetic labels to train the retriever.",INTRODUCTION,We then train the retriever to reproduce the ranking of documents corresponding to that metric.
"We make the following contributions: • First, we show that attention scores from a sequence-to-sequence reader model are a good measure of document relevance (Sec.",POS,9,29,FACT#POS,,POS,,,,,,INTRODUCTION,We then train the retriever to reproduce the ranking of documents corresponding to that metric.,INTRODUCTION,"3.2) ; • Second, inspired by knowledge distillation, we propose to iteratively train the retriever from these activations, and compare different loss functions (Sec."
"3.4) ; • Finally, we evaluate our method on three question-answering benchmarks, obtaining stateof-the-art results (Sec.",POS,9,31,FACT#POS,,POS,,,,,,INTRODUCTION,"3.2) ; • Second, inspired by knowledge distillation, we propose to iteratively train the retriever from these activations, and compare different loss functions (Sec.",INTRODUCTION,Our code is available at: github.com/facebookresearch/FiD.
Our code is available at: github.com/facebookresearch/FiD.,NC,9,32,NC,,FACT,,,,,,INTRODUCTION,"3.4) ; • Finally, we evaluate our method on three question-answering benchmarks, obtaining stateof-the-art results (Sec.",RELATED WORK,We briefly review information retrieval based on machine learning.
