id,text,,doccano_art_id,sentence_id,current_sentence_section,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence,label,Comments
2243,"7 From the results we see the tendency of NMT that directly trained model achieves high translation accuracy even for translation between languages of different families, on the other hand, the accuracy is drastically reduced in the situation when there is no sourcetarget parallel corpora for training.",100,1,111,Comparison with Neural MT:,Comparison with Neural MT:,"To train and evaluate NMT models, we adopt NMTKit.",Comparison with Neural MT:,"Cascade is one immediate method connecting two TMs, and NMT cascade translation shows the medium performance in this experiment.",POS,
2244,"Cascade is one immediate method connecting two TMs, and NMT cascade translation shows the medium performance in this experiment.",101,1,112,Comparison with Neural MT:,Comparison with Neural MT:,"7 From the results we see the tendency of NMT that directly trained model achieves high translation accuracy even for translation between languages of different families, on the other hand, the accuracy is drastically reduced in the situation when there is no sourcetarget parallel corpora for training.",Comparison with Neural MT:,"In our setting, while bilingually trained NMT systems were competitive or outperformed Hiero-based models, zeroshot translation is uniformly weaker.",NC,
2245,"In our setting, while bilingually trained NMT systems were competitive or outperformed Hiero-based models, zeroshot translation is uniformly weaker.",102,1,113,Comparison with Neural MT:,Comparison with Neural MT:,"Cascade is one immediate method connecting two TMs, and NMT cascade translation shows the medium performance in this experiment.",Comparison with Neural MT:,"This may be because we used only 1 LSTM layer for encoder/decoder, or because the amount of parallel corpora or language pairs were not sufficient.",POS,
2246,"This may be because we used only 1 LSTM layer for encoder/decoder, or because the amount of parallel corpora or language pairs were not sufficient.",103,1,114,Comparison with Neural MT:,Comparison with Neural MT:,"In our setting, while bilingually trained NMT systems were competitive or outperformed Hiero-based models, zeroshot translation is uniformly weaker.",Comparison with Neural MT:,"Thus, we can posit that while zero-shot translation has demonstrated reasonable results in some settings, successful zero-shot translation systems are far from trivial to build, and pivot-based symbolic MT systems such as PBMT or Hiero may still be a competitive alternative.",POS,"cause d'un résultat, et non sa conséquence (conséquence directe d'un résultat = claim), quand même considéré comme une analyse directe de résultat ?"
2247,"Thus, we can posit that while zero-shot translation has demonstrated reasonable results in some settings, successful zero-shot translation systems are far from trivial to build, and pivot-based symbolic MT systems such as PBMT or Hiero may still be a competitive alternative.",104,1,115,Comparison with Neural MT:,Comparison with Neural MT:,"This may be because we used only 1 LSTM layer for encoder/decoder, or because the amount of parallel corpora or language pairs were not sufficient.",Conclusion,"In this paper, we have proposed a method of pivot translation using triangulation with exact or partial matching method of pivot-side parse subtrees.",POS,
2248,"In this paper, we have proposed a method of pivot translation using triangulation with exact or partial matching method of pivot-side parse subtrees.",105,1,116,Conclusion,Comparison with Neural MT:,"Thus, we can posit that while zero-shot translation has demonstrated reasonable results in some settings, successful zero-shot translation systems are far from trivial to build, and pivot-based symbolic MT systems such as PBMT or Hiero may still be a competitive alternative.",Conclusion,"In experiments, we found that these triangulated models are effective in particular when allowing partial matching.",FACT,
2249,"In experiments, we found that these triangulated models are effective in particular when allowing partial matching.",106,1,117,Conclusion,Conclusion,"In this paper, we have proposed a method of pivot translation using triangulation with exact or partial matching method of pivot-side parse subtrees.",Conclusion,"To estimate translation probabilities, we introduced heuristic that has no guarantee to be optimal.",POS,
2250,"To estimate translation probabilities, we introduced heuristic that has no guarantee to be optimal.",107,1,118,Conclusion,Conclusion,"In experiments, we found that these triangulated models are effective in particular when allowing partial matching.",Conclusion,"Therefore in the future, we plan to explore more refined estimation methods that utilize machine learning.",FACT#NEG,
2251,"Therefore in the future, we plan to explore more refined estimation methods that utilize machine learning.",108,1,119,Conclusion,Conclusion,"To estimate translation probabilities, we introduced heuristic that has no guarantee to be optimal.",,,PROSP,
2252,"Text-based adventure games provide a platform on which to explore reinforcement learning in the context of a combinatorial action space, such as natural language.",109,2,0,abstract,,,abstract,We present a deep reinforcement learning architecture that represents the game state as a knowledge graph which is learned during exploration.,NC,
2253,We present a deep reinforcement learning architecture that represents the game state as a knowledge graph which is learned during exploration.,110,2,1,abstract,abstract,"Text-based adventure games provide a platform on which to explore reinforcement learning in the context of a combinatorial action space, such as natural language.",abstract,"This graph is used to prune the action space, enabling more efficient exploration.",FACT,
2254,"This graph is used to prune the action space, enabling more efficient exploration.",111,2,2,abstract,abstract,We present a deep reinforcement learning architecture that represents the game state as a knowledge graph which is learned during exploration.,abstract,"The question of which action to take can be reduced to a question-answering task, a form of transfer learning that pre-trains certain parts of our architecture.",POS,
2255,"The question of which action to take can be reduced to a question-answering task, a form of transfer learning that pre-trains certain parts of our architecture.",112,2,3,abstract,abstract,"This graph is used to prune the action space, enabling more efficient exploration.",abstract,"In experiments using the TextWorld framework, we show that our proposed technique can learn a control policy faster than baseline alternatives.",POS,working hypothesis
2256,"In experiments using the TextWorld framework, we show that our proposed technique can learn a control policy faster than baseline alternatives.",113,2,4,abstract,abstract,"The question of which action to take can be reduced to a question-answering task, a form of transfer learning that pre-trains certain parts of our architecture.",abstract,We have also open-sourced our code at https://github.com/rajammanabrolu/KG-DQN.,POS,
2257,We have also open-sourced our code at https://github.com/rajammanabrolu/KG-DQN.,114,2,5,abstract,abstract,"In experiments using the TextWorld framework, we show that our proposed technique can learn a control policy faster than baseline alternatives.",Introduction,Natural language communication can be used to affect change in the real world.,FACT,link to code/data -> to keep in FACT ? could be useful for an overview of the contributions
2258,Natural language communication can be used to affect change in the real world.,115,2,6,Introduction,abstract,We have also open-sourced our code at https://github.com/rajammanabrolu/KG-DQN.,Introduction,"Text adventure games, in which players must make sense of the world through text descriptions and declare actions through natural language, can provide a stepping stone toward more real-world environments where agents must communicate to understand the state of the world and indirectly affect change in the world.",NC,
2259,"Text adventure games, in which players must make sense of the world through text descriptions and declare actions through natural language, can provide a stepping stone toward more real-world environments where agents must communicate to understand the state of the world and indirectly affect change in the world.",116,2,7,Introduction,Introduction,Natural language communication can be used to affect change in the real world.,Introduction,"Text adventure games are also useful for developing and testing reinforcement learning algorithms that must deal with the partial observability of the world (Narasimhan et al., 2015;He et al., 2016).",NC,
2260,"Text adventure games are also useful for developing and testing reinforcement learning algorithms that must deal with the partial observability of the world (Narasimhan et al., 2015;He et al., 2016).",117,2,8,Introduction,Introduction,"Text adventure games, in which players must make sense of the world through text descriptions and declare actions through natural language, can provide a stepping stone toward more real-world environments where agents must communicate to understand the state of the world and indirectly affect change in the world.",Introduction,"In text adventure games, the agent receives an incomplete textual description of the current state of the world.",NC,
2261,"In text adventure games, the agent receives an incomplete textual description of the current state of the world.",118,2,9,Introduction,Introduction,"Text adventure games are also useful for developing and testing reinforcement learning algorithms that must deal with the partial observability of the world (Narasimhan et al., 2015;He et al., 2016).",Introduction,"From this information, and previous interactions with the world, a player must determine the next best action to take to achieve some quest or goal.",NC,
2262,"From this information, and previous interactions with the world, a player must determine the next best action to take to achieve some quest or goal.",119,2,10,Introduction,Introduction,"In text adventure games, the agent receives an incomplete textual description of the current state of the world.",Introduction,The player must then com-pose a textual description of the action they intend to make and receive textual feedback of the effects of the action.,NC,
2263,The player must then com-pose a textual description of the action they intend to make and receive textual feedback of the effects of the action.,120,2,11,Introduction,Introduction,"From this information, and previous interactions with the world, a player must determine the next best action to take to achieve some quest or goal.",Introduction,"Formally, a text-based game is a partially observable Markov decision process (POMDP), represented as a 7-tuple of S, T, A, Ω, O, R, γ representing the set of environment states, conditional transition probabilities between states, words used to compose text commands, observations, observation conditional probabilities, reward function, and the discount factor respectively (Côté et al., 2018).",NC,
2264,"Formally, a text-based game is a partially observable Markov decision process (POMDP), represented as a 7-tuple of S, T, A, Ω, O, R, γ representing the set of environment states, conditional transition probabilities between states, words used to compose text commands, observations, observation conditional probabilities, reward function, and the discount factor respectively (Côté et al., 2018).",121,2,12,Introduction,Introduction,The player must then com-pose a textual description of the action they intend to make and receive textual feedback of the effects of the action.,Introduction,"In text-based games, the agent never has access to the true underlying world state and has to reason about how to act in the world based only on the textual observations.",NC,
2265,"In text-based games, the agent never has access to the true underlying world state and has to reason about how to act in the world based only on the textual observations.",122,2,13,Introduction,Introduction,"Formally, a text-based game is a partially observable Markov decision process (POMDP), represented as a 7-tuple of S, T, A, Ω, O, R, γ representing the set of environment states, conditional transition probabilities between states, words used to compose text commands, observations, observation conditional probabilities, reward function, and the discount factor respectively (Côté et al., 2018).",Introduction,"Additionally, the agent's actions must be expressed through natural language commands, ensuring that the action space is combinatorially large.",NC,
2266,"Additionally, the agent's actions must be expressed through natural language commands, ensuring that the action space is combinatorially large.",123,2,14,Introduction,Introduction,"In text-based games, the agent never has access to the true underlying world state and has to reason about how to act in the world based only on the textual observations.",Introduction,"Thus, text-based games pose a different set of challenges than traditional video games.",NC,
2267,"Thus, text-based games pose a different set of challenges than traditional video games.",124,2,15,Introduction,Introduction,"Additionally, the agent's actions must be expressed through natural language commands, ensuring that the action space is combinatorially large.",Introduction,Text-based games require a greater understanding of previous context to be able to explore the state-action space more effectively.,NC,
2268,Text-based games require a greater understanding of previous context to be able to explore the state-action space more effectively.,125,2,16,Introduction,Introduction,"Thus, text-based games pose a different set of challenges than traditional video games.",Introduction,"Such games have historically proven to be difficult to play for AI agents, and the more complex variants such as Zork still remain firmly out of the reach of existing approaches.",NC,
2269,"Such games have historically proven to be difficult to play for AI agents, and the more complex variants such as Zork still remain firmly out of the reach of existing approaches.",126,2,17,Introduction,Introduction,Text-based games require a greater understanding of previous context to be able to explore the state-action space more effectively.,Introduction,We introduce three contributions to text-based game playing to deal with the combinatorially large state and action spaces.,NC,
2270,We introduce three contributions to text-based game playing to deal with the combinatorially large state and action spaces.,127,2,18,Introduction,Introduction,"Such games have historically proven to be difficult to play for AI agents, and the more complex variants such as Zork still remain firmly out of the reach of existing approaches.",Introduction,"First, we show that a state representation in the form of a knowledge graph gives us the ability to effectively prune an action space.",FACT,
2271,"First, we show that a state representation in the form of a knowledge graph gives us the ability to effectively prune an action space.",128,2,19,Introduction,Introduction,We introduce three contributions to text-based game playing to deal with the combinatorially large state and action spaces.,Introduction,A knowledge graph captures the relationships between entities as a directed graph.,POS,
2272,A knowledge graph captures the relationships between entities as a directed graph.,129,2,20,Introduction,Introduction,"First, we show that a state representation in the form of a knowledge graph gives us the ability to effectively prune an action space.",Introduction,The knowledge graph provides a persistent memory of the world over time and enables the agent to have a prior notion of what actions it should not take at a particular stage of the game.,NC,
2273,The knowledge graph provides a persistent memory of the world over time and enables the agent to have a prior notion of what actions it should not take at a particular stage of the game.,130,2,21,Introduction,Introduction,A knowledge graph captures the relationships between entities as a directed graph.,Introduction,"Our second contribution is a deep reinforcement learning architecture, Knowledge Graph DQN (KG-DQN), that effectively uses this state rep-resentation to estimate the Q-value for a stateaction pair.",POS,
2274,"Our second contribution is a deep reinforcement learning architecture, Knowledge Graph DQN (KG-DQN), that effectively uses this state rep-resentation to estimate the Q-value for a stateaction pair.",131,2,22,Introduction,Introduction,The knowledge graph provides a persistent memory of the world over time and enables the agent to have a prior notion of what actions it should not take at a particular stage of the game.,Introduction,"This architecture leverages recent advances in graph embedding and attention techniques (Guan et al., 2018;Veličković et al., 2018) to learn which portions of the graph to pay attention to given an input state description in addition to having a mechanism that allows for natural language action inputs.",FACT#POS,
2275,"This architecture leverages recent advances in graph embedding and attention techniques (Guan et al., 2018;Veličković et al., 2018) to learn which portions of the graph to pay attention to given an input state description in addition to having a mechanism that allows for natural language action inputs.",132,2,23,Introduction,Introduction,"Our second contribution is a deep reinforcement learning architecture, Knowledge Graph DQN (KG-DQN), that effectively uses this state rep-resentation to estimate the Q-value for a stateaction pair.",Introduction,"Finally, we take initial steps toward framing the POMDP as a questionanswering (QA) problem wherein a knowledgegraph can be used to not only prune actions but to answer the question of what action is most appropriate.",POS,
2276,"Finally, we take initial steps toward framing the POMDP as a questionanswering (QA) problem wherein a knowledgegraph can be used to not only prune actions but to answer the question of what action is most appropriate.",133,2,24,Introduction,Introduction,"This architecture leverages recent advances in graph embedding and attention techniques (Guan et al., 2018;Veličković et al., 2018) to learn which portions of the graph to pay attention to given an input state description in addition to having a mechanism that allows for natural language action inputs.",Introduction,"Previous work has shown that many NLP tasks can be framed as instances of questionanswering and that we can transfer knowledge between these tasks (McCann et al., 2017).",FACT,
2277,"Previous work has shown that many NLP tasks can be framed as instances of questionanswering and that we can transfer knowledge between these tasks (McCann et al., 2017).",134,2,25,Introduction,Introduction,"Finally, we take initial steps toward framing the POMDP as a questionanswering (QA) problem wherein a knowledgegraph can be used to not only prune actions but to answer the question of what action is most appropriate.",Introduction,We show how pre-training certain parts of our KG-DQN network using existing QA methods improves performance and allows knowledge to be transferred from different games.,NC,
2278,We show how pre-training certain parts of our KG-DQN network using existing QA methods improves performance and allows knowledge to be transferred from different games.,135,2,26,Introduction,Introduction,"Previous work has shown that many NLP tasks can be framed as instances of questionanswering and that we can transfer knowledge between these tasks (McCann et al., 2017).",Introduction,We provide results on ablative experiments comparing our knowledge-graph based approach approaches to strong baselines.,POS,
2279,We provide results on ablative experiments comparing our knowledge-graph based approach approaches to strong baselines.,136,2,27,Introduction,Introduction,We show how pre-training certain parts of our KG-DQN network using existing QA methods improves performance and allows knowledge to be transferred from different games.,Introduction,Results show that incorporating a knowledge-graph into a reinforcement learning agent results in converges to the highest reward more than 40% faster than the best baseline.,FACT,
2280,Results show that incorporating a knowledge-graph into a reinforcement learning agent results in converges to the highest reward more than 40% faster than the best baseline.,137,2,28,Introduction,Introduction,We provide results on ablative experiments comparing our knowledge-graph based approach approaches to strong baselines.,Introduction,"With pre-training using a questionanswering paradigm, we achieve this fast convergence rate while also achieving high quality quest solutions as measured by the number of steps required to complete the quests.",POS,
2281,"With pre-training using a questionanswering paradigm, we achieve this fast convergence rate while also achieving high quality quest solutions as measured by the number of steps required to complete the quests.",138,2,29,Introduction,Introduction,Results show that incorporating a knowledge-graph into a reinforcement learning agent results in converges to the highest reward more than 40% faster than the best baseline.,Related Work,"A growing body of research has explored the challenges associated with text-based games (Bordes et al., 2010;Narasimhan et al., 2015;He et al., 2016;Fulda et al., 2017;Haroush et al., 2018;Côté et al., 2018;Tao et al., 2018).",POS,
2282,"In this section we introduce our knowledge graph representation, action pruning and deep Qnetwork architecture.",139,2,49,Knowledge Graph DQN,Related Work,The state representation that we have chosen as well as our method of action pruning builds on the strengths of existing approaches while simultaneously avoiding the shortcomings of ineffective exploration and lack of long-term context.,Knowledge Graph Representation,"In our approach, our agent learns a knowledge graph, stored as a set of RDF triples, i.e.",NC,
2283,"In our approach, our agent learns a knowledge graph, stored as a set of RDF triples, i.e.",140,2,50,Knowledge Graph Representation,Knowledge Graph DQN,"In this section we introduce our knowledge graph representation, action pruning and deep Qnetwork architecture.",Knowledge Graph Representation,"3-tuples of subject, relation, object .",NC,
2284,"3-tuples of subject, relation, object .",141,2,51,Knowledge Graph Representation,Knowledge Graph Representation,"In our approach, our agent learns a knowledge graph, stored as a set of RDF triples, i.e.",Knowledge Graph Representation,"These triples are extracted from the observations using Stanford's Open Information Extraction (OpenIE) (Angeli et al., 2015).",NC,
2285,"These triples are extracted from the observations using Stanford's Open Information Extraction (OpenIE) (Angeli et al., 2015).",142,2,52,Knowledge Graph Representation,Knowledge Graph Representation,"3-tuples of subject, relation, object .",Knowledge Graph Representation,OpenIE is not optimized to the regularities of text adventure games and there are a lot of relations that can be inferred from the typical structure of descriptive texts.,NC,
2286,OpenIE is not optimized to the regularities of text adventure games and there are a lot of relations that can be inferred from the typical structure of descriptive texts.,143,2,53,Knowledge Graph Representation,Knowledge Graph Representation,"These triples are extracted from the observations using Stanford's Open Information Extraction (OpenIE) (Angeli et al., 2015).",Knowledge Graph Representation,"For example, from a phrase such as ""There is an exit to the north"" one can infer a has relation between the current The knowledge graph is updated after every agent action (see Figure 1).",NC,
2287,"For example, from a phrase such as ""There is an exit to the north"" one can infer a has relation between the current The knowledge graph is updated after every agent action (see Figure 1).",144,2,54,Knowledge Graph Representation,Knowledge Graph Representation,OpenIE is not optimized to the regularities of text adventure games and there are a lot of relations that can be inferred from the typical structure of descriptive texts.,Knowledge Graph Representation,The update rules are defined such that there are portions of the graph offering short and long-term context.,NC,
2288,The update rules are defined such that there are portions of the graph offering short and long-term context.,145,2,55,Knowledge Graph Representation,Knowledge Graph Representation,"For example, from a phrase such as ""There is an exit to the north"" one can infer a has relation between the current The knowledge graph is updated after every agent action (see Figure 1).",Knowledge Graph Representation,"A special node-designated ""you""-represents the agent and relations out of this node are updated after every action with the exception of relations denoting the agent's inventory.",NC,
2289,"A special node-designated ""you""-represents the agent and relations out of this node are updated after every action with the exception of relations denoting the agent's inventory.",146,2,56,Knowledge Graph Representation,Knowledge Graph Representation,The update rules are defined such that there are portions of the graph offering short and long-term context.,Knowledge Graph Representation,Other relations persist after each action.,NC,
2290,Other relations persist after each action.,147,2,57,Knowledge Graph Representation,Knowledge Graph Representation,"A special node-designated ""you""-represents the agent and relations out of this node are updated after every action with the exception of relations denoting the agent's inventory.",Knowledge Graph Representation,We intend for the update rules to be applied to text-based games in different domains and so only hand-craft a minimal set of rules that we believe apply generally.,NC,
2291,We intend for the update rules to be applied to text-based games in different domains and so only hand-craft a minimal set of rules that we believe apply generally.,148,2,58,Knowledge Graph Representation,Knowledge Graph Representation,Other relations persist after each action.,Knowledge Graph Representation,They are: • Linking the current room type (e.g.,PROSP,
2292,They are: • Linking the current room type (e.g.,149,2,59,Knowledge Graph Representation,Knowledge Graph Representation,We intend for the update rules to be applied to text-based games in different domains and so only hand-craft a minimal set of rules that we believe apply generally.,Knowledge Graph Representation,"""basement"", ""chamber') to the items found in the room with the relation ""has"", e.g.",NC,
2293,"""basement"", ""chamber') to the items found in the room with the relation ""has"", e.g.",150,2,60,Knowledge Graph Representation,Knowledge Graph Representation,They are: • Linking the current room type (e.g.,Knowledge Graph Representation,"chamber, has, bed stand • Extracting information regarding entrances and exits and linking them to the current room, e.g.",NC,
2294,"chamber, has, bed stand • Extracting information regarding entrances and exits and linking them to the current room, e.g.",151,2,61,Knowledge Graph Representation,Knowledge Graph Representation,"""basement"", ""chamber') to the items found in the room with the relation ""has"", e.g.",Knowledge Graph Representation,"basement, has, exit to north • Removing all relations relating to the ""you"" node with the exception of inventory every action, e.g.",NC,
2295,"basement, has, exit to north • Removing all relations relating to the ""you"" node with the exception of inventory every action, e.g.",152,2,62,Knowledge Graph Representation,Knowledge Graph Representation,"chamber, has, bed stand • Extracting information regarding entrances and exits and linking them to the current room, e.g.",Knowledge Graph Representation,"you, have, cubical key • Linking rooms with directions based on the action taken to move between the rooms, e.g.",NC,
2296,"you, have, cubical key • Linking rooms with directions based on the action taken to move between the rooms, e.g.",153,2,63,Knowledge Graph Representation,Knowledge Graph Representation,"basement, has, exit to north • Removing all relations relating to the ""you"" node with the exception of inventory every action, e.g.",Knowledge Graph Representation,"chamber, east of, basement after the action ""go east"" is taken to go from the basement to the chamber All other RDF triples generated are taken from OpenIE.",NC,
2297,"chamber, east of, basement after the action ""go east"" is taken to go from the basement to the chamber All other RDF triples generated are taken from OpenIE.",154,2,64,Knowledge Graph Representation,Knowledge Graph Representation,"you, have, cubical key • Linking rooms with directions based on the action taken to move between the rooms, e.g.",Action Pruning,"The number of actions available to an agent in a text adventure game can be quite large: A = O(|V | × |O| 2 ) where V is the number of action verbs, and O is the number of distinct objects in the world that the agent can interact with, assuming that verbs can take two arguments.",NC,
2298,"The number of actions available to an agent in a text adventure game can be quite large: A = O(|V | × |O| 2 ) where V is the number of action verbs, and O is the number of distinct objects in the world that the agent can interact with, assuming that verbs can take two arguments.",155,2,65,Action Pruning,Knowledge Graph Representation,"chamber, east of, basement after the action ""go east"" is taken to go from the basement to the chamber All other RDF triples generated are taken from OpenIE.",Action Pruning,"Some actions, such as movement, inspecting inventory, or observing the room, do not have arguments.",NC,
2299,"Some actions, such as movement, inspecting inventory, or observing the room, do not have arguments.",156,2,66,Action Pruning,Action Pruning,"The number of actions available to an agent in a text adventure game can be quite large: A = O(|V | × |O| 2 ) where V is the number of action verbs, and O is the number of distinct objects in the world that the agent can interact with, assuming that verbs can take two arguments.",Action Pruning,The knowledge graph is used to prune the combinatorially large space of possible actions available to the agent as follows.,NC,
2300,The knowledge graph is used to prune the combinatorially large space of possible actions available to the agent as follows.,157,2,67,Action Pruning,Action Pruning,"Some actions, such as movement, inspecting inventory, or observing the room, do not have arguments.",Action Pruning,"Given the current state graph representation G t , the action space is pruned by ranking the full set of actions and selecting the top-k. Our action scoring function is: • +1 for each object in the action that is present in the graph; and • +1 if there exists a valid directed path between the two objects in the graph.",NC,
2301,"Given the current state graph representation G t , the action space is pruned by ranking the full set of actions and selecting the top-k. Our action scoring function is: • +1 for each object in the action that is present in the graph; and • +1 if there exists a valid directed path between the two objects in the graph.",158,2,68,Action Pruning,Action Pruning,The knowledge graph is used to prune the combinatorially large space of possible actions available to the agent as follows.,Action Pruning,We assume that each action has at most two objects (for example inserting a key in a lock).,NC,
2302,We assume that each action has at most two objects (for example inserting a key in a lock).,159,2,69,Action Pruning,Action Pruning,"Given the current state graph representation G t , the action space is pruned by ranking the full set of actions and selecting the top-k. Our action scoring function is: • +1 for each object in the action that is present in the graph; and • +1 if there exists a valid directed path between the two objects in the graph.",Model Architecture and Training,Following Narasimhan et al.,NC,
2303,"Previous work has shown that many NLP tasks can be framed as instances of question-answering and that in doing so, one can transfer knowledge between these tasks (McCann et al., 2017).",160,2,103,Game Play as Question Answering,Model Architecture and Training,The exact training mechanism is described in Algorithm 1.,Game Play as Question Answering,"In the abstract, an agent playing a text adventure game can be thought of as continuously asking the question ""What is the right action to perform in this situation?""",NC,
2304,"In the abstract, an agent playing a text adventure game can be thought of as continuously asking the question ""What is the right action to perform in this situation?""",161,2,104,Game Play as Question Answering,Game Play as Question Answering,"Previous work has shown that many NLP tasks can be framed as instances of question-answering and that in doing so, one can transfer knowledge between these tasks (McCann et al., 2017).",Game Play as Question Answering,"When appropriately trained, the agent may be able to answer the question for itself and select a good next move to execute.",NC,
2305,"When appropriately trained, the agent may be able to answer the question for itself and select a good next move to execute.",162,2,105,Game Play as Question Answering,Game Play as Question Answering,"In the abstract, an agent playing a text adventure game can be thought of as continuously asking the question ""What is the right action to perform in this situation?""",Game Play as Question Answering,Treating the problem as question-answering will not replace the need for exploration in text-adventure games.,NC,
2306,Treating the problem as question-answering will not replace the need for exploration in text-adventure games.,163,2,106,Game Play as Question Answering,Game Play as Question Answering,"When appropriately trained, the agent may be able to answer the question for itself and select a good next move to execute.",Game Play as Question Answering,"However, we hypothesize that it will cut down on the amount of exploration needed during testing time, theoretically allowing it to complete quests faster; one of the challenges of text adventure games is that the quests are puzzles and even after training, execution of the policy requires a significant amount of exploration.",NEG,
2307,"However, we hypothesize that it will cut down on the amount of exploration needed during testing time, theoretically allowing it to complete quests faster; one of the challenges of text adventure games is that the quests are puzzles and even after training, execution of the policy requires a significant amount of exploration.",164,2,107,Game Play as Question Answering,Game Play as Question Answering,Treating the problem as question-answering will not replace the need for exploration in text-adventure games.,Game Play as Question Answering,"To teach the agent to answer the question of what action is best to take given an observation, we use an offline, pre-training approach.",PROSP,
2308,"To teach the agent to answer the question of what action is best to take given an observation, we use an offline, pre-training approach.",165,2,108,Game Play as Question Answering,Game Play as Question Answering,"However, we hypothesize that it will cut down on the amount of exploration needed during testing time, theoretically allowing it to complete quests faster; one of the challenges of text adventure games is that the quests are puzzles and even after training, execution of the policy requires a significant amount of exploration.",Game Play as Question Answering,"The data for the pre-training approach is generated using an oracle, an agent capable of finishing a game perfectly in the least number of steps possible.",FACT,
2309,"The data for the pre-training approach is generated using an oracle, an agent capable of finishing a game perfectly in the least number of steps possible.",166,2,109,Game Play as Question Answering,Game Play as Question Answering,"To teach the agent to answer the question of what action is best to take given an observation, we use an offline, pre-training approach.",Game Play as Question Answering,"Specifically, the agent knows exactly what action to take given the state observation in order to advance the game in the most optimal manner possible.",NC,
2310,"Specifically, the agent knows exactly what action to take given the state observation in order to advance the game in the most optimal manner possible.",167,2,110,Game Play as Question Answering,Game Play as Question Answering,"The data for the pre-training approach is generated using an oracle, an agent capable of finishing a game perfectly in the least number of steps possible.",Game Play as Question Answering,"Through this process, we generate a set of traces consisting of state observations and actions such that the state observation provides the context for the implicit question of ""What action should be taken?""",NC,
2311,"Through this process, we generate a set of traces consisting of state observations and actions such that the state observation provides the context for the implicit question of ""What action should be taken?""",168,2,111,Game Play as Question Answering,Game Play as Question Answering,"Specifically, the agent knows exactly what action to take given the state observation in order to advance the game in the most optimal manner possible.",Game Play as Question Answering,and the oracle's correct action is the answer.,NC,
2312,and the oracle's correct action is the answer.,169,2,112,Game Play as Question Answering,Game Play as Question Answering,"Through this process, we generate a set of traces consisting of state observations and actions such that the state observation provides the context for the implicit question of ""What action should be taken?""",Game Play as Question Answering,"We then use the DrQA (Chen et al., 2017) question-answering technique to train a paired question encoder and an answer encoder that together predict the answer (action) from the question (text observation).",NC,
2313,"We then use the DrQA (Chen et al., 2017) question-answering technique to train a paired question encoder and an answer encoder that together predict the answer (action) from the question (text observation).",170,2,113,Game Play as Question Answering,Game Play as Question Answering,and the oracle's correct action is the answer.,Game Play as Question Answering,The weights from the SB-LSTM in the document encoder in the DrQA system are then used to initialize the weights of the SB-LSTM.,FACT,
2314,The weights from the SB-LSTM in the document encoder in the DrQA system are then used to initialize the weights of the SB-LSTM.,171,2,114,Game Play as Question Answering,Game Play as Question Answering,"We then use the DrQA (Chen et al., 2017) question-answering technique to train a paired question encoder and an answer encoder that together predict the answer (action) from the question (text observation).",Game Play as Question Answering,"Similarly, embedding layers of both the graph and the LSTM action encoder are initialized with the weights from the embedding layer of same document encoder.",NC,
2315,"Similarly, embedding layers of both the graph and the LSTM action encoder are initialized with the weights from the embedding layer of same document encoder.",172,2,115,Game Play as Question Answering,Game Play as Question Answering,The weights from the SB-LSTM in the document encoder in the DrQA system are then used to initialize the weights of the SB-LSTM.,Game Play as Question Answering,"Since the DrQA embedding layers are initialized with GloVe, we are transferring word embeddings that are tuned during the training of the QA architecture.",NC,
2316,"Since the DrQA embedding layers are initialized with GloVe, we are transferring word embeddings that are tuned during the training of the QA architecture.",173,2,116,Game Play as Question Answering,Game Play as Question Answering,"Similarly, embedding layers of both the graph and the LSTM action encoder are initialized with the weights from the embedding layer of same document encoder.",Game Play as Question Answering,The game traces used to train the questionanswering come from a set of games of the same domain but have different specific configurations of the environment and different quests.,NC,
2317,The game traces used to train the questionanswering come from a set of games of the same domain but have different specific configurations of the environment and different quests.,174,2,117,Game Play as Question Answering,Game Play as Question Answering,"Since the DrQA embedding layers are initialized with GloVe, we are transferring word embeddings that are tuned during the training of the QA architecture.",Game Play as Question Answering,"We use the TextWorld framework (Côté et al., 2018), which uses a grammar to generate random worlds and quests.",NC,
2318,"We use the TextWorld framework (Côté et al., 2018), which uses a grammar to generate random worlds and quests.",175,2,118,Game Play as Question Answering,Game Play as Question Answering,The game traces used to train the questionanswering come from a set of games of the same domain but have different specific configurations of the environment and different quests.,Game Play as Question Answering,"The types of rooms are the same, but their relative spatial configuration, the types of objects, and the specific sequence of actions needed to complete the quest are different each time.",NC,
2319,"The types of rooms are the same, but their relative spatial configuration, the types of objects, and the specific sequence of actions needed to complete the quest are different each time.",176,2,119,Game Play as Question Answering,Game Play as Question Answering,"We use the TextWorld framework (Côté et al., 2018), which uses a grammar to generate random worlds and quests.",Game Play as Question Answering,This means that the agent cannot simply memorize quests.,NC,
2320,This means that the agent cannot simply memorize quests.,177,2,120,Game Play as Question Answering,Game Play as Question Answering,"The types of rooms are the same, but their relative spatial configuration, the types of objects, and the specific sequence of actions needed to complete the quest are different each time.",Game Play as Question Answering,"For pre-training to work, the agent must develop a general question-answering competence that can transfer to new quests.",NC,
