id,text,idx,sec,prev_sec,prev_sent,next_sec,next_sent,label,Comments
4879,"Then from i = 2 on, each (o ki , o vi ) will form following two triples: {s, p-o ki , o vi } and {o v1 , o ki , o vi }.",8054519,Relation Extraction,Relation Extraction,"First, o v1 will be taken as an object to form a triple {s, p, o v1 }.",Relation Extraction,"Here both s and o v1 will be repeatedly taken as subjects in the formed triples, and p-o ki is a new generated predicate.",NC,
4880,"Here both s and o v1 will be repeatedly taken as subjects in the formed triples, and p-o ki is a new generated predicate.",8054520,Relation Extraction,Relation Extraction,"Then from i = 2 on, each (o ki , o vi ) will form following two triples: {s, p-o ki , o vi } and {o v1 , o ki , o vi }.",Relation Extraction,"Accordingly, the given example will generate following triples, which are {s, p, o v1 }, {s, p-o k2 , o v2 }, {o v1 , o k2 , o v2 }, ..., {s, p-o km , o vm }, {o v1 , o km , o vm }. ",NC,
4881,"Accordingly, the given example will generate following triples, which are {s, p, o v1 }, {s, p-o k2 , o v2 }, {o v1 , o k2 , o v2 }, ..., {s, p-o km , o vm }, {o v1 , o km , o vm }. ",8054521,Relation Extraction,Relation Extraction,"Here both s and o v1 will be repeatedly taken as subjects in the formed triples, and p-o ki is a new generated predicate.",Relation Extraction,"If there are some single-O-value triples, they can be formed into a multi-O-value triple with a reverse process. ",NC,
4882,"If there are some single-O-value triples, they can be formed into a multi-O-value triple with a reverse process. ",8054522,Relation Extraction,Relation Extraction,"Accordingly, the given example will generate following triples, which are {s, p, o v1 }, {s, p-o k2 , o v2 }, {o v1 , o k2 , o v2 }, ..., {s, p-o km , o vm }, {o v1 , o km , o vm }. ",Relation Extraction,"In the voting module, three existing state-of-the-art triple extraction models are used to extract single-O-value triples separately.",NC,
4883,"In the voting module, three existing state-of-the-art triple extraction models are used to extract single-O-value triples separately.",8054523,Relation Extraction,Relation Extraction,"If there are some single-O-value triples, they can be formed into a multi-O-value triple with a reverse process. ",Relation Extraction,Then their results would be voted to output the triples that receive more votes.,NC,
4884,Then their results would be voted to output the triples that receive more votes.,8054524,Relation Extraction,Relation Extraction,"In the voting module, three existing state-of-the-art triple extraction models are used to extract single-O-value triples separately.",Relation Extraction,"Next, these obtained triples are converted into some multiple-O-values triples 3 as final results of this RE task.",NC,
4885,"Next, these obtained triples are converted into some multiple-O-values triples 3 as final results of this RE task.",8054525,Relation Extraction,Relation Extraction,Then their results would be voted to output the triples that receive more votes.,Relation Extraction,"In our system, following three existing state-of-the-art models are used for voting: TPLinker [14], SPN [10] and CasRel [16].",NC,
4886,"In our system, following three existing state-of-the-art models are used for voting: TPLinker [14], SPN [10] and CasRel [16].",8054526,Relation Extraction,Relation Extraction,"Next, these obtained triples are converted into some multiple-O-values triples 3 as final results of this RE task.",Sentence-level Event Extraction,"In our system, we treat each event argument as an entity, and concatenate this argument's corresponding event type and role as the entity type.",NC,
4887,"In our system, we treat each event argument as an entity, and concatenate this argument's corresponding event type and role as the entity type.",8054527,Sentence-level Event Extraction,Relation Extraction,"In our system, following three existing state-of-the-art models are used for voting: TPLinker [14], SPN [10] and CasRel [16].",Sentence-level Event Extraction,Then the SEE task is converted into a NER task.,NC,
4888,Then the SEE task is converted into a NER task.,8054528,Sentence-level Event Extraction,Sentence-level Event Extraction,"In our system, we treat each event argument as an entity, and concatenate this argument's corresponding event type and role as the entity type.",Sentence-level Event Extraction,But there is a multiple label issue in the SEE task: an argument may belong to multiple event types.,NC,
4889,But there is a multiple label issue in the SEE task: an argument may belong to multiple event types.,8054529,Sentence-level Event Extraction,Sentence-level Event Extraction,Then the SEE task is converted into a NER task.,Sentence-level Event Extraction,"To address this issue, here we use a pointer labeling based NER method that tags the start token and end token of an entity span for each candidate entity type.",NC,
4890,"To address this issue, here we use a pointer labeling based NER method that tags the start token and end token of an entity span for each candidate entity type.",8054530,Sentence-level Event Extraction,Sentence-level Event Extraction,But there is a multiple label issue in the SEE task: an argument may belong to multiple event types.,Sentence-level Event Extraction,"Specifically, as shown in Eq.",NC,
4891,"Specifically, as shown in Eq.",8054531,Sentence-level Event Extraction,Sentence-level Event Extraction,"To address this issue, here we use a pointer labeling based NER method that tags the start token and end token of an entity span for each candidate entity type.",Sentence-level Event Extraction,"( 1), for each entity type, the model compute two probabilities for each word to indicate the possibilities of this word being the start and end tokens of an entity that possesses this entity type. ",NC,
4892,"( 1), for each entity type, the model compute two probabilities for each word to indicate the possibilities of this word being the start and end tokens of an entity that possesses this entity type. ",8054532,Sentence-level Event Extraction,Sentence-level Event Extraction,"Specifically, as shown in Eq.",Sentence-level Event Extraction,p sij = sigmoid(W S,NC,
4893,p sij = sigmoid(W S,8054533,Sentence-level Event Extraction,Sentence-level Event Extraction,"( 1), for each entity type, the model compute two probabilities for each word to indicate the possibilities of this word being the start and end tokens of an entity that possesses this entity type. ",Sentence-level Event Extraction,"+ b S i ), p eij = sigmoid(W E",NC,
4894,"+ b S i ), p eij = sigmoid(W E",8054534,Sentence-level Event Extraction,Sentence-level Event Extraction,p sij = sigmoid(W S,Sentence-level Event Extraction,"i ∈ R d } r i=1 , {b i ∈ R} r i=1 are learnable parameters for the i-th entity type, h j ∈ R d is the token representation for the j-th word and is obtained by a pretrained language model, r is the number of entity types, p sij and p eij is the probabilities of the j-th word being the start token and the end token of an entiy that should be labeled with the i-th entity type. ",NC,
4895,"i ∈ R d } r i=1 , {b i ∈ R} r i=1 are learnable parameters for the i-th entity type, h j ∈ R d is the token representation for the j-th word and is obtained by a pretrained language model, r is the number of entity types, p sij and p eij is the probabilities of the j-th word being the start token and the end token of an entiy that should be labeled with the i-th entity type. ",8054535,Sentence-level Event Extraction,Sentence-level Event Extraction,"+ b S i ), p eij = sigmoid(W E",Sentence-level Event Extraction,"Furthermore, to make full use of the features from the annotated triggers, we design an auxiliary trigger recognition module that also recognizes triggers in the same NER manner as used above.",NC,
4896,"Furthermore, to make full use of the features from the annotated triggers, we design an auxiliary trigger recognition module that also recognizes triggers in the same NER manner as used above.",8054536,Sentence-level Event Extraction,Sentence-level Event Extraction,"i ∈ R d } r i=1 , {b i ∈ R} r i=1 are learnable parameters for the i-th entity type, h j ∈ R d is the token representation for the j-th word and is obtained by a pretrained language model, r is the number of entity types, p sij and p eij is the probabilities of the j-th word being the start token and the end token of an entiy that should be labeled with the i-th entity type. ",Sentence-level Event Extraction,This auxiliary module are trained jointly with the above argument recognition module in a multi-task learning manner. ,NC,
4897,This auxiliary module are trained jointly with the above argument recognition module in a multi-task learning manner. ,8054537,Sentence-level Event Extraction,Sentence-level Event Extraction,"Furthermore, to make full use of the features from the annotated triggers, we design an auxiliary trigger recognition module that also recognizes triggers in the same NER manner as used above.",Sentence-level Event Extraction,"During training, the trigger recognition module will generate a representation for each trigger.",NC,
4898,"During training, the trigger recognition module will generate a representation for each trigger.",8054538,Sentence-level Event Extraction,Sentence-level Event Extraction,This auxiliary module are trained jointly with the above argument recognition module in a multi-task learning manner. ,Sentence-level Event Extraction,Then these trigger representations will be merged into the token representations used by the argument recognition module with an attention mechanism for the argument recognition of next iteration.,NC,
4899,Then these trigger representations will be merged into the token representations used by the argument recognition module with an attention mechanism for the argument recognition of next iteration.,8054539,Sentence-level Event Extraction,Sentence-level Event Extraction,"During training, the trigger recognition module will generate a representation for each trigger.",Sentence-level Event Extraction,"But during inferencing, our model will first recognize all triggers (the results are denoted as T = {t 1 , t 2 , ...}).",NC,
4900,"But during inferencing, our model will first recognize all triggers (the results are denoted as T = {t 1 , t 2 , ...}).",8054540,Sentence-level Event Extraction,Sentence-level Event Extraction,Then these trigger representations will be merged into the token representations used by the argument recognition module with an attention mechanism for the argument recognition of next iteration.,Sentence-level Event Extraction,Then these triggers' representations will be fused into a unified representation (denoted as t) by a max-pooling operation.,NC,
4901,Then these triggers' representations will be fused into a unified representation (denoted as t) by a max-pooling operation.,8054541,Sentence-level Event Extraction,Sentence-level Event Extraction,"But during inferencing, our model will first recognize all triggers (the results are denoted as T = {t 1 , t 2 , ...}).",Sentence-level Event Extraction,"Next, an additiveattention based method is used to obtained a new token representation sequence (denoted as Ĥ), which will then be used as input for the argument recognition module.",NC,
4902,"Next, an additiveattention based method is used to obtained a new token representation sequence (denoted as Ĥ), which will then be used as input for the argument recognition module.",8054542,Sentence-level Event Extraction,Sentence-level Event Extraction,Then these triggers' representations will be fused into a unified representation (denoted as t) by a max-pooling operation.,Sentence-level Event Extraction,"Specifically, Ĥ is computed with following Eq.",NC,
4903,"Specifically, Ĥ is computed with following Eq.",8054543,Sentence-level Event Extraction,Sentence-level Event Extraction,"Next, an additiveattention based method is used to obtained a new token representation sequence (denoted as Ĥ), which will then be used as input for the argument recognition module.",Sentence-level Event Extraction,α = sof tmax(V T tanh(W,NC,
4904,α = sof tmax(V T tanh(W,8054544,Sentence-level Event Extraction,Sentence-level Event Extraction,"Specifically, Ĥ is computed with following Eq.",Sentence-level Event Extraction,"1 H + W 2 t)), Ĥ = α • H ( ) where H is the original token representations, V , W 1 , and W 2 are learnable parameters, and the superscript T denotes a matrix transpose operation.",NC,
4905,"1 H + W 2 t)), Ĥ = α • H ( ) where H is the original token representations, V , W 1 , and W 2 are learnable parameters, and the superscript T denotes a matrix transpose operation.",8054545,Sentence-level Event Extraction,Sentence-level Event Extraction,α = sof tmax(V T tanh(W,Document-level Event Extraction,The architecture of our DEE model is shown in Fig.,NC,
4906,The architecture of our DEE model is shown in Fig.,8054546,Document-level Event Extraction,Sentence-level Event Extraction,"1 H + W 2 t)), Ĥ = α • H ( ) where H is the original token representations, V , W 1 , and W 2 are learnable parameters, and the superscript T denotes a matrix transpose operation.",Document-level Event Extraction,"We can see it contains three main modules, which are Encoder, Decoder, and Output.",NC,
4907,"We can see it contains three main modules, which are Encoder, Decoder, and Output.",8054547,Document-level Event Extraction,Document-level Event Extraction,The architecture of our DEE model is shown in Fig.,Document-level Event Extraction,BERT [2] and some of its variants are used as Encoder to get a contextaware representation for each token in a document.,NC,
4908,BERT [2] and some of its variants are used as Encoder to get a contextaware representation for each token in a document.,8054548,Document-level Event Extraction,Document-level Event Extraction,"We can see it contains three main modules, which are Encoder, Decoder, and Output.",Document-level Event Extraction,"Note that both BERT and its variants have a length restriction for the input text (usually 512 TOKENs), so we use the sliding window based method to split a long document into several segments.",NC,
4909,"Note that both BERT and its variants have a length restriction for the input text (usually 512 TOKENs), so we use the sliding window based method to split a long document into several segments.",8054549,Document-level Event Extraction,Document-level Event Extraction,BERT [2] and some of its variants are used as Encoder to get a contextaware representation for each token in a document.,Document-level Event Extraction,Then each segment is taken as an input to be processed by our DEE model and the results of these segments are combined as final results.,NC,
4910,Then each segment is taken as an input to be processed by our DEE model and the results of these segments are combined as final results.,8054550,Document-level Event Extraction,Document-level Event Extraction,"Note that both BERT and its variants have a length restriction for the input text (usually 512 TOKENs), so we use the sliding window based method to split a long document into several segments.",Document-level Event Extraction,"Given a segment S = {e 0 , e 1 , ..., e l }, the output of Encoder is a token embedding sequence, we denote it as H ∈ R l×d , where l is the number of tokens in the given segment, and d is the dimension of the token embedding. ",NC,
4911,"Given a segment S = {e 0 , e 1 , ..., e l }, the output of Encoder is a token embedding sequence, we denote it as H ∈ R l×d , where l is the number of tokens in the given segment, and d is the dimension of the token embedding. ",8054551,Document-level Event Extraction,Document-level Event Extraction,Then each segment is taken as an input to be processed by our DEE model and the results of these segments are combined as final results.,Document-level Event Extraction,"In the Decoder module, some learnable query embeddings (as shown in Fig. 2, denoted as (q 0 , q 1 , ..., q m ))",NC,
4912,"In the Decoder module, some learnable query embeddings (as shown in Fig. 2, denoted as (q 0 , q 1 , ..., q m ))",8054552,Document-level Event Extraction,Document-level Event Extraction,"Given a segment S = {e 0 , e 1 , ..., e l }, the output of Encoder is a token embedding sequence, we denote it as H ∈ R l×d , where l is the number of tokens in the given segment, and d is the dimension of the token embedding. ",Document-level Event Extraction,along with the token embedding sequence outputted by the Encoder module are taken as input to predict events.,NC,
4913,along with the token embedding sequence outputted by the Encoder module are taken as input to predict events.,8054553,Document-level Event Extraction,Document-level Event Extraction,"In the Decoder module, some learnable query embeddings (as shown in Fig. 2, denoted as (q 0 , q 1 , ..., q m ))",Document-level Event Extraction,Each query embedding corresponds to a specific event.,NC,
4914,Each query embedding corresponds to a specific event.,8054554,Document-level Event Extraction,Document-level Event Extraction,along with the token embedding sequence outputted by the Encoder module are taken as input to predict events.,Document-level Event Extraction,"Although different documents may have different numbers of events, we set a fixed number (denoted as m, and is set to 16 here) for the used queries, which is obtained according to the maximal event number in a document of the training dataset. ",NC,
4915,"Although different documents may have different numbers of events, we set a fixed number (denoted as m, and is set to 16 here) for the used queries, which is obtained according to the maximal event number in a document of the training dataset. ",8054555,Document-level Event Extraction,Document-level Event Extraction,Each query embedding corresponds to a specific event.,Document-level Event Extraction,"Here our designed Decoder is similar to the one used in Transformer [11], but we delete the components of masking and positional encoding because there is no correlations and position relations between event's query embeddings in the DEE task.",,
4916,"Here our designed Decoder is similar to the one used in Transformer [11], but we delete the components of masking and positional encoding because there is no correlations and position relations between event's query embeddings in the DEE task.",8054556,Document-level Event Extraction,Document-level Event Extraction,"Although different documents may have different numbers of events, we set a fixed number (denoted as m, and is set to 16 here) for the used queries, which is obtained according to the maximal event number in a document of the training dataset. ",Document-level Event Extraction,"Our Decoder module consists of N stacked layers, and each layer consists of a multi-head self-attention module, a multi-head inter-attention module, and a feed forward network.",NC,
4917,"Our Decoder module consists of N stacked layers, and each layer consists of a multi-head self-attention module, a multi-head inter-attention module, and a feed forward network.",8054557,Document-level Event Extraction,Document-level Event Extraction,"Here our designed Decoder is similar to the one used in Transformer [11], but we delete the components of masking and positional encoding because there is no correlations and position relations between event's query embeddings in the DEE task.",Document-level Event Extraction,It will generate a refined embedding representation sequence (denoted as T ∈ R m×l×d ) for the input queries.,NC,
4918,It will generate a refined embedding representation sequence (denoted as T ∈ R m×l×d ) for the input queries.,8054558,Document-level Event Extraction,Document-level Event Extraction,"Our Decoder module consists of N stacked layers, and each layer consists of a multi-head self-attention module, a multi-head inter-attention module, and a feed forward network.",Document-level Event Extraction,"Specifically, the multihead self-attention module is first performed to highlight some queries.",NC,
4919,"Specifically, the multihead self-attention module is first performed to highlight some queries.",8054559,Document-level Event Extraction,Document-level Event Extraction,It will generate a refined embedding representation sequence (denoted as T ∈ R m×l×d ) for the input queries.,Document-level Event Extraction,"Then, the multi-head inter-attention operation is performed to highlight the correlations between this input queries and the input sentence.",NC,
4920,"Then, the multi-head inter-attention operation is performed to highlight the correlations between this input queries and the input sentence.",8054560,Document-level Event Extraction,Document-level Event Extraction,"Specifically, the multihead self-attention module is first performed to highlight some queries.",Document-level Event Extraction,"Next, a feed forward network is used to generate a new embedding representation sequence for the input query.",NC,
4921,"Next, a feed forward network is used to generate a new embedding representation sequence for the input query.",8054561,Document-level Event Extraction,Document-level Event Extraction,"Then, the multi-head inter-attention operation is performed to highlight the correlations between this input queries and the input sentence.",Document-level Event Extraction,The above three steps will be performed N times to obtained T . ,NC,
4922,The above three steps will be performed N times to obtained T . ,8054562,Document-level Event Extraction,Document-level Event Extraction,"Next, a feed forward network is used to generate a new embedding representation sequence for the input query.",Document-level Event Extraction,"The Output module is just the same as the extraction model for DEE, which uses a pointer labeling based method and an auxiliary trigger recognition module together to predict the event arguments.",NC,
4923,"The Output module is just the same as the extraction model for DEE, which uses a pointer labeling based method and an auxiliary trigger recognition module together to predict the event arguments.",8054563,Document-level Event Extraction,Document-level Event Extraction,The above three steps will be performed N times to obtained T . ,Document-level Event Extraction,"Specifically, it takes each t",NC,
4924,"Specifically, it takes each t",8054564,Document-level Event Extraction,Document-level Event Extraction,"The Output module is just the same as the extraction model for DEE, which uses a pointer labeling based method and an auxiliary trigger recognition module together to predict the event arguments.",Document-level Event Extraction,"i ∈ R l×d in T as input, and computes two kinds of probabilities, S i ∈ R l×r and E i ∈ R l×r , to denote the probabilities of each word being the start and end tokens of an entity that should be labeled with the i-th event argument.",NC,
4925,"i ∈ R l×d in T as input, and computes two kinds of probabilities, S i ∈ R l×r and E i ∈ R l×r , to denote the probabilities of each word being the start and end tokens of an entity that should be labeled with the i-th event argument.",8054565,Document-level Event Extraction,Document-level Event Extraction,"Specifically, it takes each t",Loss function,"The cross entropy loss function is used for both the tasks of RE and SEE, but we use a bipartite matching loss for DEE.",NC,
4926,"The cross entropy loss function is used for both the tasks of RE and SEE, but we use a bipartite matching loss for DEE.",8054566,Loss function,Document-level Event Extraction,"i ∈ R l×d in T as input, and computes two kinds of probabilities, S i ∈ R l×r and E i ∈ R l×r , to denote the probabilities of each word being the start and end tokens of an entity that should be labeled with the i-th event argument.",Loss function,The main difficulty in DEE is that the predicted arguments are not always in the same order as those in the ground truths.,NC,
4927,The main difficulty in DEE is that the predicted arguments are not always in the same order as those in the ground truths.,8054567,Loss function,Loss function,"The cross entropy loss function is used for both the tasks of RE and SEE, but we use a bipartite matching loss for DEE.",Loss function,"For example, an event is predicted by the i-th query embedding, but it may be in the j-th position of the ground truths.",NC,
4928,"For example, an event is predicted by the i-th query embedding, but it may be in the j-th position of the ground truths.",8054568,Loss function,Loss function,The main difficulty in DEE is that the predicted arguments are not always in the same order as those in the ground truths.,Loss function,"Thus, we do not apply the cross-entropy loss function directly because this loss is sensitive to the permutation of the predictions.",NC,
4929,"Thus, we do not apply the cross-entropy loss function directly because this loss is sensitive to the permutation of the predictions.",8054569,Loss function,Loss function,"For example, an event is predicted by the i-th query embedding, but it may be in the j-th position of the ground truths.",Loss function,"Instead, we use the bipartite matching loss proposed in SPN to produce an optimal matching between m predicted events and m ground truth events.",NC,
4930,"Instead, we use the bipartite matching loss proposed in SPN to produce an optimal matching between m predicted events and m ground truth events.",8054570,Loss function,Loss function,"Thus, we do not apply the cross-entropy loss function directly because this loss is sensitive to the permutation of the predictions.",Loss function,"Specifically, we concatenate S and E (see above, generated in DEE), into Ŷ ∈ R m×l×2×r , that can represent the predicted events.",NC,
4931,"Specifically, we concatenate S and E (see above, generated in DEE), into Ŷ ∈ R m×l×2×r , that can represent the predicted events.",8054571,Loss function,Loss function,"Instead, we use the bipartite matching loss proposed in SPN to produce an optimal matching between m predicted events and m ground truth events.",Loss function,The ground truths is denoted as Y ∈ R m×l×2×r .,NC,
4932,The ground truths is denoted as Y ∈ R m×l×2×r .,8054572,Loss function,Loss function,"Specifically, we concatenate S and E (see above, generated in DEE), into Ŷ ∈ R m×l×2×r , that can represent the predicted events.",Loss function,The process of computing bipartite matching loss is divided into two steps: finding an optimal matching and computing the loss function.,NC,
4933,The process of computing bipartite matching loss is divided into two steps: finding an optimal matching and computing the loss function.,8054573,Loss function,Loss function,The ground truths is denoted as Y ∈ R m×l×2×r .,Loss function,"To find optimal matching between Y and Ŷ , we search for a permutation of elements π * with the lowest cost l match , as shown in Eq.( 3). ",NC,
4934,"To find optimal matching between Y and Ŷ , we search for a permutation of elements π * with the lowest cost l match , as shown in Eq.( 3). ",8054574,Loss function,Loss function,The process of computing bipartite matching loss is divided into two steps: finding an optimal matching and computing the loss function.,Loss function,where S(m) is the space of all m-length permutations.,NC,
4935,where S(m) is the space of all m-length permutations.,8054575,Loss function,Loss function,"To find optimal matching between Y and Ŷ , we search for a permutation of elements π * with the lowest cost l match , as shown in Eq.( 3). ",Loss function,∈ R l×2×r are outputs of the i-th predicated event and the i-th ground truth.,NC,
4936,∈ R l×2×r are outputs of the i-th predicated event and the i-th ground truth.,8054576,Loss function,Loss function,where S(m) is the space of all m-length permutations.,Loss function,"l match (Y i , Ŷπ(i) ) is the pair-wise matching cost between the ground truth Y i and the prediction event with index π(i), and it is be computed as follow: l match = Ŷπ(i) • Y i ( ) where • is Hadamard product, and the optimal π * can be be computed in polynomial time (O(m 3 )) via the Hungarian algorithm 4 .",NC,
4937,"l match (Y i , Ŷπ(i) ) is the pair-wise matching cost between the ground truth Y i and the prediction event with index π(i), and it is be computed as follow: l match = Ŷπ(i) • Y i ( ) where • is Hadamard product, and the optimal π * can be be computed in polynomial time (O(m 3 )) via the Hungarian algorithm 4 .",8054577,Loss function,Loss function,∈ R l×2×r are outputs of the i-th predicated event and the i-th ground truth.,Loss function,Readers can find more detailed introduction about this loss in SPN. ,NC,
4938,Readers can find more detailed introduction about this loss in SPN. ,8054578,Loss function,Loss function,"l match (Y i , Ŷπ(i) ) is the pair-wise matching cost between the ground truth Y i and the prediction event with index π(i), and it is be computed as follow: l match = Ŷπ(i) • Y i ( ) where • is Hadamard product, and the optimal π * can be be computed in polynomial time (O(m 3 )) via the Hungarian algorithm 4 .",Loss function,"After π * is obtained, we change the event order of the predicated Ŷπ * to be in line with π * , and the re-ordered result is denoted as Y * .",NC,
4939,"After π * is obtained, we change the event order of the predicated Ŷπ * to be in line with π * , and the re-ordered result is denoted as Y * .",8054579,Loss function,Loss function,Readers can find more detailed introduction about this loss in SPN. ,Loss function,Then we use the cross entropy loss function to compute the loss between Y * and Y .,NC,
4940,Then we use the cross entropy loss function to compute the loss between Y * and Y .,8054580,Loss function,Loss function,"After π * is obtained, we change the event order of the predicated Ŷπ * to be in line with π * , and the re-ordered result is denoted as Y * .",Model Enhancement Techniques,"In our system, some model enhancement techiques are used to further improve the performance of each subtask.",NC,
4941,"The main experimental results are shown in Table 3, in which Backbone, TR, BML, Ens, AT, and PLM to denote the backbone models, the trigger recognition module, the bipartite matching loss, the ensemble model, the adversarial training, and the pretrained language models respectively.",8054581,Main Results,Model Enhancement Techniques,"And the epochs for these three subtasks are 10, 40, and 30 respectively.",Main Results,"In all of our experiments, Backbone refers to the model in which the transformer decoder and the bipartite matching loss are removed. ",NC,
4942,"In all of our experiments, Backbone refers to the model in which the transformer decoder and the bipartite matching loss are removed. ",8054582,Main Results,Main Results,"The main experimental results are shown in Table 3, in which Backbone, TR, BML, Ens, AT, and PLM to denote the backbone models, the trigger recognition module, the bipartite matching loss, the ensemble model, the adversarial training, and the pretrained language models respectively.",Main Results,"From Table 3 we can see that our RE model achieves far better results than all the compared state-of-the-art triple extraction models like CasRel, TPLinker, and SPN.",NC,
4943,"From Table 3 we can see that our RE model achieves far better results than all the compared state-of-the-art triple extraction models like CasRel, TPLinker, and SPN.",8054583,Main Results,Main Results,"In all of our experiments, Backbone refers to the model in which the transformer decoder and the bipartite matching loss are removed. ",Main Results,Here we donot compare our two EE models with other state-of-the-art models because most of existing EE models cannot be used here directly.,POS,
4944,Here we donot compare our two EE models with other state-of-the-art models because most of existing EE models cannot be used here directly.,8054584,Main Results,Main Results,"From Table 3 we can see that our RE model achieves far better results than all the compared state-of-the-art triple extraction models like CasRel, TPLinker, and SPN.",Main Results,Ablation Results From the ablation results in Table 3 we can see that the pretrained language models are much helpful for all subtasks and they always bring a significant performance gain for a subtask.,NC,
4945,Ablation Results From the ablation results in Table 3 we can see that the pretrained language models are much helpful for all subtasks and they always bring a significant performance gain for a subtask.,8054585,Main Results,Main Results,Here we donot compare our two EE models with other state-of-the-art models because most of existing EE models cannot be used here directly.,Main Results,"Besides, the adversarial training is also helpful and it consistently improves the performance of a subtask. ",POS,
4946,"Besides, the adversarial training is also helpful and it consistently improves the performance of a subtask. ",8054586,Main Results,Main Results,Ablation Results From the ablation results in Table 3 we can see that the pretrained language models are much helpful for all subtasks and they always bring a significant performance gain for a subtask.,Main Results,"From the results of both SEE and DEE we can see that the designed trigger recognition module plays a very important role to the performance, and it improves nearly 1.5% point for the F1 score of SEE, and more than 2.1% point for the F1 score of DEE.",POS,
4947,"From the results of both SEE and DEE we can see that the designed trigger recognition module plays a very important role to the performance, and it improves nearly 1.5% point for the F1 score of SEE, and more than 2.1% point for the F1 score of DEE.",8054587,Main Results,Main Results,"Besides, the adversarial training is also helpful and it consistently improves the performance of a subtask. ",Main Results,"In fact, this module plays even more roles than the pretrained language models.",POS,
4948,"In fact, this module plays even more roles than the pretrained language models.",8054588,Main Results,Main Results,"From the results of both SEE and DEE we can see that the designed trigger recognition module plays a very important role to the performance, and it improves nearly 1.5% point for the F1 score of SEE, and more than 2.1% point for the F1 score of DEE.",Main Results,"Based on these results we can conclude that the triggers do contain some important cues for both kinds of EE subtasks, and making full of these cues are much helpful for improving the performance. ",POS,
4949,"Based on these results we can conclude that the triggers do contain some important cues for both kinds of EE subtasks, and making full of these cues are much helpful for improving the performance. ",8054589,Main Results,Main Results,"In fact, this module plays even more roles than the pretrained language models.",Main Results,From the results of DEE we can see that the bipartite matching loss also plays a helpful role to improve the performance.,POS,
4950,From the results of DEE we can see that the bipartite matching loss also plays a helpful role to improve the performance.,8054590,Main Results,Main Results,"Based on these results we can conclude that the triggers do contain some important cues for both kinds of EE subtasks, and making full of these cues are much helpful for improving the performance. ",Main Results,And it brings more performance gain than the adversarial training. ,POS,
4951,And it brings more performance gain than the adversarial training. ,8054591,Main Results,Main Results,From the results of DEE we can see that the bipartite matching loss also plays a helpful role to improve the performance.,Main Results,"Besides, we also conduct experiments on the DEE subtask to evaluate: (i) the impact of the layer number of the transformer-based decoder (the number N in Fig. 2) , and (ii) the impact of different sizes of sliding windows.",POS,
4952,"Besides, we also conduct experiments on the DEE subtask to evaluate: (i) the impact of the layer number of the transformer-based decoder (the number N in Fig. 2) , and (ii) the impact of different sizes of sliding windows.",8054592,Main Results,Main Results,And it brings more performance gain than the adversarial training. ,Main Results,"For the first one, we test different numbers in the range of 0 to 5.",NC,
4953,"For the first one, we test different numbers in the range of 0 to 5.",8054593,Main Results,Main Results,"Besides, we also conduct experiments on the DEE subtask to evaluate: (i) the impact of the layer number of the transformer-based decoder (the number N in Fig. 2) , and (ii) the impact of different sizes of sliding windows.",Main Results,"Our experiments show that when the number of decoder layer is set to 3, the model achieves the best results.",NC,
4954,"Our experiments show that when the number of decoder layer is set to 3, the model achieves the best results.",8054594,Main Results,Main Results,"For the first one, we test different numbers in the range of 0 to 5.",Main Results,"We think this is mainly because that a moderate layer number will lead to more complete integration of input information into event queries, while a larger or smaller number will make the model be overfit or underfit.",POS,
4955,"We think this is mainly because that a moderate layer number will lead to more complete integration of input information into event queries, while a larger or smaller number will make the model be overfit or underfit.",8054595,Main Results,Main Results,"Our experiments show that when the number of decoder layer is set to 3, the model achieves the best results.",Main Results,"For the second one, we set the size of sliding windows to 128, 256, and 512.",POS,
4956,"For the second one, we set the size of sliding windows to 128, 256, and 512.",8054596,Main Results,Main Results,"We think this is mainly because that a moderate layer number will lead to more complete integration of input information into event queries, while a larger or smaller number will make the model be overfit or underfit.",Main Results,"And their F1 scores are 64.8%, 66.9%, and 69.2% respectively when the number of the decoder's layer is set to 3 and the bipartite matching loss is used.",NC,
4957,"And their F1 scores are 64.8%, 66.9%, and 69.2% respectively when the number of the decoder's layer is set to 3 and the bipartite matching loss is used.",8054597,Main Results,Main Results,"For the second one, we set the size of sliding windows to 128, 256, and 512.",Main Results,"These results show that usually, the performance would increase as the size of the sliding window increases.",POS,
4958,"These results show that usually, the performance would increase as the size of the sliding window increases.",8054598,Main Results,Main Results,"And their F1 scores are 64.8%, 66.9%, and 69.2% respectively when the number of the decoder's layer is set to 3 and the bipartite matching loss is used.",Main Results,This is because that more context features can be taken into consideration with a larger sliding windows size.,POS,
4959,This is because that more context features can be taken into consideration with a larger sliding windows size.,8054599,Main Results,Main Results,"These results show that usually, the performance would increase as the size of the sliding window increases.",Conclusions,This paper describes our system to the LIC-2021 multi-format IE task.,POS,
4960,This paper describes our system to the LIC-2021 multi-format IE task.,8054600,Conclusions,Main Results,This is because that more context features can be taken into consideration with a larger sliding windows size.,Conclusions,"We use different methods to overcome different challenges in this competition task, including the schema disintegration method for the multiple-O-values schema issue in the RE subtask, the multi-task learning method for the SEE subtask, and the Transform-alike decoder for the DEE subtask.",FACT,
